sample	query	model	description	bitscore	evalue
GCF_000010605.1	SGR_RS26560	PF13280.6	WYL domain	143.6	2e-44
GCF_000010625.1	MAE_RS13385	PF18320.1	Csc2 Crispr	434.5	5.3e-133
GCF_000010625.1	MAE_RS13455	PF09827.9	CRISPR associated protein Cas2	98.2	7.5e-31
GCF_000010625.1	MAE_RS13450	PF01867.16	CRISPR associated protein Cas1	319.4	5.7e-98
GCF_000010625.1	MAE_RS13445	PF01930.17	Domain of unknown function DUF83	111.7	1.2e-34
GCF_000010625.1	MAE_RS13440	PF10040.9	CRISPR-associated endoribonuclease Cas6	70.8	3.9e-22
GCF_000010665.1	DMR_RS06650	PF09704.10	CRISPR-associated protein (Cas_Cas5)	152.0	6.9e-47
GCF_000010665.1	DMR_RS23605	PF13280.6	WYL domain	129.5	4.3e-40
GCF_000010665.1	DMR_RS23485	PF13280.6	WYL domain	105.0	1.5e-32
GCF_000010665.1	DMR_RS06675	PF09827.9	CRISPR associated protein Cas2	86.4	3.6e-27
GCF_000010665.1	DMR_RS19650	PF09618.10	CRISPR-associated protein (Cas_Csy4)	195.3	3.4e-60
GCF_000010665.1	DMR_RS06665	PF01930.17	Domain of unknown function DUF83	109.3	6.9e-34
GCF_000010665.1	DMR_RS06670	PF01867.16	CRISPR associated protein Cas1	338.4	9.6e-104
GCF_000010665.1	DMR_RS19665	PF09611.10	CRISPR-associated protein (Cas_Csy1)	393.2	4e-120
GCF_000010665.1	DMR_RS06660	PF05107.12	CRISPR-associated protein Cas7	370.7	1.3e-113
GCF_000010665.1	DMR_RS06655	PF09709.10	CRISPR-associated protein (Cas_Csd1)	589.1	3.2e-179
GCF_000010665.1	DMR_RS19660	PF09614.10	CRISPR-associated protein (Cas_Csy2)	335.5	9.5e-103
GCF_000010665.1	DMR_RS22850	PF13280.6	WYL domain	85.4	1.6e-26
GCF_000010665.1	DMR_RS19655	PF09615.10	CRISPR-associated protein (Cas_Csy3)	482.0	3.2e-147
GCF_000010785.1	HTH_RS06310	PF01881.16	CRISPR associated protein Cas6	128.7	8.2e-40
GCF_000010785.1	HTH_RS06305	PF09484.10	CRISPR-associated protein TM1802 (cas_TM1802)	481.3	1.7e-146
GCF_000010785.1	HTH_RS06280	PF01867.16	CRISPR associated protein Cas1	320.2	3.4e-98
GCF_000010785.1	HTH_RS06285	PF01930.17	Domain of unknown function DUF83	177.0	1e-54
GCF_000010785.1	HTH_RS06275	PF09827.9	CRISPR associated protein Cas2	79.6	4.9e-25
GCF_000010785.1	HTH_RS06300	PF05107.12	CRISPR-associated protein Cas7	196.0	2.7e-60
GCF_000010805.1	ROP_RS33320	PF13280.6	WYL domain	118.6	9.8e-37
GCF_000010805.1	ROP_RS28455	PF13280.6	WYL domain	109.5	6.1e-34
GCF_000010805.1	ROP_RS02730	PF13280.6	WYL domain	114.6	1.7e-35
GCF_000010805.1	ROP_RS27860	PF13280.6	WYL domain	130.7	1.9e-40
GCF_000010805.1	ROP_RS21515	PF13280.6	WYL domain	114.3	2.1e-35
GCF_000010805.1	ROP_RS02735	PF13280.6	WYL domain	100.4	3.8e-31
GCF_000010845.1	APA03_RS14165	PF08798.11	CRISPR associated protein	154.2	2e-47
GCF_000010845.1	APA03_RS14160	PF09704.10	CRISPR-associated protein (Cas_Cas5)	101.1	2.6e-31
GCF_000010845.1	APA03_RS14145	PF09481.10	CRISPR-associated protein Cse1 (CRISPR_cse1)	342.5	1.5e-104
GCF_000010845.1	APA03_RS14155	PF09344.10	CT1975-like protein	334.7	2.9e-102
GCF_000010845.1	APA03_RS14175	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	116.6	1.3e-36
GCF_000010845.1	APA03_RS00830	PF13280.6	WYL domain	96.7	5.4e-30
GCF_000010905.1	APA26_RS14190	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	116.6	1.3e-36
GCF_000010905.1	APA26_RS14180	PF08798.11	CRISPR associated protein	154.2	2e-47
GCF_000010905.1	APA26_RS14175	PF09704.10	CRISPR-associated protein (Cas_Cas5)	101.1	2.6e-31
GCF_000010905.1	APA26_RS14170	PF09344.10	CT1975-like protein	334.7	2.9e-102
GCF_000010905.1	APA26_RS14160	PF09481.10	CRISPR-associated protein Cse1 (CRISPR_cse1)	342.5	1.5e-104
GCF_000010905.1	APA26_RS00830	PF13280.6	WYL domain	96.7	5.4e-30
GCF_000010945.1	APA42C_RS13820	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	116.6	1.3e-36
GCF_000010945.1	APA42C_RS13810	PF08798.11	CRISPR associated protein	154.2	2e-47
GCF_000010945.1	APA42C_RS13805	PF09704.10	CRISPR-associated protein (Cas_Cas5)	101.1	2.6e-31
GCF_000010945.1	APA42C_RS13800	PF09344.10	CT1975-like protein	334.7	2.9e-102
GCF_000010945.1	APA42C_RS13790	PF09481.10	CRISPR-associated protein Cse1 (CRISPR_cse1)	342.5	1.5e-104
GCF_000010945.1	APA42C_RS00830	PF13280.6	WYL domain	96.7	5.4e-30
GCF_000010985.1	DEFDS_RS02755	PF01881.16	CRISPR associated protein Cas6	147.8	1.1e-45
GCF_000010985.1	DEFDS_RS02760	PF09827.9	CRISPR associated protein Cas2	83.5	2.9e-26
GCF_000010985.1	DEFDS_RS11430	PF01881.16	CRISPR associated protein Cas6	133.7	2.4e-41
GCF_000010985.1	DEFDS_RS11425	PF09484.10	CRISPR-associated protein TM1802 (cas_TM1802)	370.8	4.9e-113
GCF_000010985.1	DEFDS_RS02765	PF01867.16	CRISPR associated protein Cas1	314.4	1.9e-96
GCF_000010985.1	DEFDS_RS11420	PF05107.12	CRISPR-associated protein Cas7	204.5	6.8e-63
GCF_000010985.1	DEFDS_RS02750	PF09484.10	CRISPR-associated protein TM1802 (cas_TM1802)	527.8	1.4e-160
GCF_000010985.1	DEFDS_RS04455	PF13280.6	WYL domain	107.5	2.5e-33
GCF_000010985.1	DEFDS_RS02745	PF05107.12	CRISPR-associated protein Cas7	205.6	3e-63
GCF_000010985.1	DEFDS_RS02770	PF01930.17	Domain of unknown function DUF83	174.2	7.2e-54
GCF_000011025.1	RMDY18_RS05415	PF09827.9	CRISPR associated protein Cas2	63.4	5.5e-20
GCF_000011025.1	RMDY18_RS05420	PF01867.16	CRISPR associated protein Cas1	264.8	2.5e-81
GCF_000011025.1	RMDY18_RS05410	PF09617.10	CRISPR-associated protein GSU0053 (Cas_GSU0053)	100.7	2.9e-31
GCF_000011025.1	RMDY18_RS05420	PF01930.17	Domain of unknown function DUF83	78.7	1.7e-24
GCF_000011025.1	RMDY18_RS04555	PF13280.6	WYL domain	93.0	7.3e-29
GCF_000011065.1	BT_2509	PF13280.6	WYL domain	124.5	1.5e-38
GCF_000011065.1	BT_1767	PF13280.6	WYL domain	87.3	4e-27
GCF_000011145.1	AYT26_RS01855	PF12469.8	CRISPR-associated protein	69.2	1.1e-21
GCF_000011145.1	AYT26_RS01910	PF05107.12	CRISPR-associated protein Cas7	279.0	1.3e-85
GCF_000011145.1	AYT26_RS01850	PF03787.15	RAMP superfamily	61.2	4.8e-19
GCF_000011145.1	AYT26_RS01860	PF09700.10	CRISPR-associated protein (Cas_Cmr3)	417.9	1.5e-127
GCF_000011145.1	AYT26_RS09655	PF13280.6	WYL domain	93.4	5.5e-29
GCF_000011145.1	AYT26_RS09290	PF13280.6	WYL domain	86.2	8.7e-27
GCF_000011145.1	AYT26_RS02260	PF13280.6	WYL domain	105.1	1.4e-32
GCF_000011145.1	AYT26_RS01925	PF09827.9	CRISPR associated protein Cas2	87.4	1.9e-27
GCF_000011145.1	AYT26_RS01920	PF01867.16	CRISPR associated protein Cas1	342.3	6.1e-105
GCF_000011145.1	AYT26_RS01915	PF01930.17	Domain of unknown function DUF83	116.3	4.8e-36
GCF_000011145.1	AYT26_RS01865	PF03787.15	RAMP superfamily	67.1	7.7e-21
GCF_000011145.1	AYT26_RS01870	PF09701.10	CRISPR-associated protein (Cas_Cmr5)	63.0	1e-19
GCF_000011145.1	AYT26_RS01905	PF09709.10	CRISPR-associated protein (Cas_Csd1)	492.1	7.7e-150
GCF_000011145.1	AYT26_RS01900	PF09704.10	CRISPR-associated protein (Cas_Cas5)	162.3	4.8e-50
GCF_000011305.1	CE_RS08075	PF13280.6	WYL domain	82.5	1.2e-25
GCF_000011305.1	CE_RS08080	PF13280.6	WYL domain	69.2	1.4e-21
GCF_000011385.1	glr2889	PF13280.6	WYL domain	112.2	9.3e-35
GCF_000011605.1	ECA_RS18190	PF09618.10	CRISPR-associated protein (Cas_Csy4)	222.3	1.7e-68
GCF_000011605.1	ECA_RS18175	PF09611.10	CRISPR-associated protein (Cas_Csy1)	479.8	2e-146
GCF_000011605.1	ECA_RS18180	PF09614.10	CRISPR-associated protein (Cas_Csy2)	353.9	2.4e-108
GCF_000011605.1	ECA_RS18185	PF09615.10	CRISPR-associated protein (Cas_Csy3)	499.1	2.1e-152
GCF_000011965.2	SPO_RS18120	PF13280.6	WYL domain	63.1	1.1e-19
GCF_000011965.2	SPO_RS17660	PF13280.6	WYL domain	61.4	3.7e-19
GCF_000012305.1	PSYC_RS06860	PF13280.6	WYL domain	68.0	3.5e-21
GCF_000012305.1	PSYC_RS07160	PF13280.6	WYL domain	92.2	1.3e-28
GCF_000012325.1	CPS_RS15165	PF13280.6	WYL domain	60.3	7.8e-19
GCF_000012405.1	TFU_RS08725	PF13280.6	WYL domain	185.7	2.3e-57
GCF_000012405.1	TFU_RS07890	PF18395.1	Cas3 C-terminal domain	101.5	1.2e-31
GCF_000012405.1	TFU_RS07885	PF09481.10	CRISPR-associated protein Cse1 (CRISPR_cse1)	441.2	1.7e-134
GCF_000012405.1	TFU_RS07880	PF09485.10	CRISPR-associated protein Cse2 (CRISPR_cse2)	115.0	1.3e-35
GCF_000012405.1	TFU_RS07875	PF09344.10	CT1975-like protein	453.7	2.1e-138
GCF_000012405.1	TFU_RS07870	PF09704.10	CRISPR-associated protein (Cas_Cas5)	179.5	2.8e-55
GCF_000012405.1	TFU_RS07865	PF08798.11	CRISPR associated protein	241.6	3.5e-74
GCF_000012405.1	TFU_RS07855	PF09481.10	CRISPR-associated protein Cse1 (CRISPR_cse1)	284.1	7.9e-87
GCF_000012405.1	TFU_RS07850	PF09485.10	CRISPR-associated protein Cse2 (CRISPR_cse2)	106.2	6.6e-33
GCF_000012405.1	TFU_RS07845	PF09344.10	CT1975-like protein	379.6	6.7e-116
GCF_000012405.1	TFU_RS07840	PF09704.10	CRISPR-associated protein (Cas_Cas5)	181.9	4.9e-56
GCF_000012405.1	TFU_RS07835	PF08798.11	CRISPR associated protein	153.5	3.2e-47
GCF_000012405.1	TFU_RS07830	PF01867.16	CRISPR associated protein Cas1	63.0	8e-20
GCF_000012405.1	TFU_RS15810	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	112.2	3.2e-35
GCF_000012405.1	TFU_RS07815	PF09701.10	CRISPR-associated protein (Cas_Cmr5)	71.2	3.1e-22
GCF_000012405.1	TFU_RS07810	PF03787.15	RAMP superfamily	93.8	4.9e-29
GCF_000012405.1	TFU_RS07805	PF09700.10	CRISPR-associated protein (Cas_Cmr3)	294.3	5.8e-90
GCF_000012405.1	TFU_RS07170	PF13280.6	WYL domain	100.0	5.2e-31
GCF_000012485.1	PLUT_RS04400	PF13280.6	WYL domain	144.7	9.8e-45
GCF_000012485.1	PLUT_RS06735	PF09709.10	CRISPR-associated protein (Cas_Csd1)	520.4	2e-158
GCF_000012485.1	PLUT_RS06745	PF01930.17	Domain of unknown function DUF83	119.0	6.9e-37
GCF_000012485.1	PLUT_RS06730	PF09704.10	CRISPR-associated protein (Cas_Cas5)	105.6	1.1e-32
GCF_000012485.1	PLUT_RS06750	PF01867.16	CRISPR associated protein Cas1	331.8	1e-101
GCF_000012485.1	PLUT_RS11520	PF09827.9	CRISPR associated protein Cas2	91.1	1.3e-28
GCF_000012485.1	PLUT_RS06740	PF05107.12	CRISPR-associated protein Cas7	368.1	7.8e-113
GCF_000012485.1	PLUT_RS06415	PF13280.6	WYL domain	146.7	2.3e-45
GCF_000012525.1	SYNPCC7942_RS11580	PF13280.6	WYL domain	60.5	7e-19
GCF_000012585.1	CAG_RS05260	PF09704.10	CRISPR-associated protein (Cas_Cas5)	166.0	3.6e-51
GCF_000012585.1	CAG_RS05255	PF09709.10	CRISPR-associated protein (Cas_Csd1)	482.6	5.7e-147
GCF_000012585.1	CAG_RS05235	PF09827.9	CRISPR associated protein Cas2	92.0	6.5e-29
GCF_000012585.1	CAG_RS05240	PF01867.16	CRISPR associated protein Cas1	347.8	1.3e-106
GCF_000012585.1	CAG_RS05245	PF01930.17	Domain of unknown function DUF83	120.2	2.9e-37
GCF_000012585.1	CAG_RS05250	PF05107.12	CRISPR-associated protein Cas7	257.8	3.7e-79
GCF_000012665.1	DDE_RS03840	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	131.0	4.2e-41
GCF_000012665.1	DDE_RS03850	PF08798.11	CRISPR associated protein	158.2	1.2e-48
GCF_000012665.1	DDE_RS03855	PF09704.10	CRISPR-associated protein (Cas_Cas5)	180.4	1.4e-55
GCF_000012665.1	DDE_RS03860	PF09344.10	CT1975-like protein	322.1	2e-98
GCF_000012665.1	DDE_RS03870	PF09481.10	CRISPR-associated protein Cse1 (CRISPR_cse1)	309.2	1.9e-94
GCF_000012725.1	NWI_RS10105	PF09827.9	CRISPR associated protein Cas2	85.0	1e-26
GCF_000012725.1	NWI_RS10120	PF05107.12	CRISPR-associated protein Cas7	368.1	7.7e-113
GCF_000012725.1	NWI_RS10115	PF01930.17	Domain of unknown function DUF83	90.0	6e-28
GCF_000012725.1	NWI_RS10110	PF01867.16	CRISPR associated protein Cas1	332.8	4.7e-102
GCF_000012725.1	NWI_RS10125	PF09709.10	CRISPR-associated protein (Cas_Csd1)	551.0	1.1e-167
GCF_000012725.1	NWI_RS04945	PF01867.16	CRISPR associated protein Cas1	84.4	2.4e-26
GCF_000012725.1	NWI_RS04935	PF09827.9	CRISPR associated protein Cas2	60.3	5.1e-19
GCF_000012725.1	NWI_RS10130	PF09704.10	CRISPR-associated protein (Cas_Cas5)	152.0	6.9e-47
GCF_000012745.1	TBD_RS12485	PF09559.10	Cas6 Crispr	196.1	1.8e-60
GCF_000012785.1	BURPS1710B_RS16565	PF13280.6	WYL domain	66.9	7.5e-21
GCF_000012805.1	NOC_RS14615	PF09615.10	CRISPR-associated protein (Cas_Csy3)	377.0	3e-115
GCF_000012805.1	NOC_RS14620	PF09618.10	CRISPR-associated protein (Cas_Csy4)	143.9	2e-44
GCF_000012805.1	NOC_RS14600	PF01867.16	CRISPR associated protein Cas1	59.8	7.9e-19
GCF_000012805.1	NOC_RS14610	PF09614.10	CRISPR-associated protein (Cas_Csy2)	204.9	5.8e-63
GCF_000012845.1	BDI_RS05920	PF01930.17	Domain of unknown function DUF83	112.6	6.7e-35
GCF_000012845.1	BDI_RS05905	PF09704.10	CRISPR-associated protein (Cas_Cas5)	86.5	7.7e-27
GCF_000012845.1	BDI_RS05910	PF09709.10	CRISPR-associated protein (Cas_Csd1)	479.3	5.7e-146
GCF_000012845.1	BDI_RS05915	PF05107.12	CRISPR-associated protein Cas7	364.7	8.2e-112
GCF_000012845.1	BDI_RS05930	PF09827.9	CRISPR associated protein Cas2	84.9	1.1e-26
GCF_000012845.1	BDI_RS05925	PF01867.16	CRISPR associated protein Cas1	333.3	3.3e-102
GCF_000012865.1	CHY_RS09885	PF09651.10	CRISPR-associated protein (Cas_APE2256)	142.5	2.4e-44
GCF_000012865.1	CHY_RS10035	PF01881.16	CRISPR associated protein Cas6	101.1	2.6e-31
GCF_000012865.1	CHY_RS09965	PF03787.15	RAMP superfamily	82.2	1.8e-25
GCF_000012865.1	CHY_RS09960	PF17953.1	CRISPR Csm4 C-terminal domain	92.0	5.3e-29
GCF_000012865.1	CHY_RS09955	PF03787.15	RAMP superfamily	70.8	5.3e-22
GCF_000012865.1	CHY_RS09950	PF01881.16	CRISPR associated protein Cas6	118.8	9.5e-37
GCF_000012865.1	CHY_RS09900	PF13280.6	WYL domain	100.1	4.6e-31
GCF_000012865.1	CHY_RS09970	PF03750.13	Csm2 Type III-A	104.0	2.7e-32
GCF_000012865.1	CHY_RS09975	PF18211.1	Csm1 subunit domain B	72.7	5.6e-23
GCF_000012865.1	CHY_RS10000	PF09827.9	CRISPR associated protein Cas2	74.2	2.4e-23
GCF_000012865.1	CHY_RS09895	PF13280.6	WYL domain	119.0	7.4e-37
GCF_000012865.1	CHY_RS10005	PF01867.16	CRISPR associated protein Cas1	304.5	2.1e-93
GCF_000012865.1	CHY_RS10025	PF05107.12	CRISPR-associated protein Cas7	204.1	8.7e-63
GCF_000012865.1	CHY_RS10030	PF09484.10	CRISPR-associated protein TM1802 (cas_TM1802)	511.5	1.2e-155
GCF_000012865.1	CHY_RS09890	PF09455.10	CRISPR-associated (Cas) DxTHG family	248.1	6.5e-76
GCF_000012865.1	CHY_RS10010	PF01930.17	Domain of unknown function DUF83	181.9	3.2e-56
GCF_000012885.1	PCAR_RS05620	PF09344.10	CT1975-like protein	339.2	1.3e-103
GCF_000012885.1	PCAR_RS05615	PF09485.10	CRISPR-associated protein Cse2 (CRISPR_cse2)	94.6	2.5e-29
GCF_000012885.1	PCAR_RS06920	PF13280.6	WYL domain	138.0	1.1e-42
GCF_000012885.1	PCAR_RS05625	PF09704.10	CRISPR-associated protein (Cas_Cas5)	151.8	8.3e-47
GCF_000012885.1	PCAR_RS05645	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	122.7	1.6e-38
GCF_000012885.1	PCAR_RS05630	PF08798.11	CRISPR associated protein	149.7	4.4e-46
GCF_000012885.1	PCAR_RS05600	PF13280.6	WYL domain	130.0	3.2e-40
GCF_000012885.1	PCAR_RS05610	PF09481.10	CRISPR-associated protein Cse1 (CRISPR_cse1)	360.3	6e-110
GCF_000012925.1	GMET_RS05355	PF05107.12	CRISPR-associated protein Cas7	370.2	1.8e-113
GCF_000012925.1	GMET_RS05350	PF09709.10	CRISPR-associated protein (Cas_Csd1)	551.4	8.1e-168
GCF_000012925.1	GMET_RS05385	PF09827.9	CRISPR associated protein Cas2	88.9	6e-28
GCF_000012925.1	GMET_RS05380	PF01867.16	CRISPR associated protein Cas1	335.7	6.4e-103
GCF_000012925.1	GMET_RS05370	PF01930.17	Domain of unknown function DUF83	117.8	1.6e-36
GCF_000012925.1	GMET_RS05345	PF09704.10	CRISPR-associated protein (Cas_Cas5)	116.6	4.7e-36
GCF_000012925.1	GMET_RS15465	PF13280.6	WYL domain	154.1	1.3e-47
GCF_000012945.1	BCEP18194_RS09060	PF13280.6	WYL domain	65.3	2.4e-20
GCF_000012945.1	BCEP18194_RS04670	PF13280.6	WYL domain	115.7	7.4e-36
GCF_000012985.1	HCH_RS30340	PF13280.6	WYL domain	145.3	6.2e-45
GCF_000012985.1	HCH_RS25825	PF13280.6	WYL domain	81.6	2.2e-25
GCF_000012985.1	HCH_RS12710	PF09709.10	CRISPR-associated protein (Cas_Csd1)	589.7	2.1e-179
GCF_000012985.1	HCH_RS12720	PF01930.17	Domain of unknown function DUF83	143.2	2.5e-44
GCF_000012985.1	HCH_RS12725	PF01867.16	CRISPR associated protein Cas1	349.6	3.7e-107
GCF_000012985.1	HCH_RS12705	PF09704.10	CRISPR-associated protein (Cas_Cas5)	163.9	1.6e-50
GCF_000012985.1	HCH_RS00890	PF13280.6	WYL domain	63.5	8.2e-20
GCF_000012985.1	HCH_RS12730	PF09827.9	CRISPR associated protein Cas2	84.5	1.5e-26
GCF_000012985.1	HCH_RS12715	PF05107.12	CRISPR-associated protein Cas7	374.1	1.1e-114
GCF_000013065.1	BCQ_RS03585	PF13280.6	WYL domain	96.4	6.6e-30
GCF_000013065.1	BCQ_RS05790	PF13280.6	WYL domain	129.5	4.3e-40
GCF_000013085.1	Rru_A0832	PF01930.17	Domain of unknown function DUF83	90.6	3.7e-28
GCF_000013085.1	Rru_A1149	PF03787.15	RAMP superfamily	84.4	3.9e-26
GCF_000013085.1	Rru_A0344	PF09344.10	CT1975-like protein	330.8	4.6e-101
GCF_000013085.1	Rru_A0346	PF08798.11	CRISPR associated protein	105.5	1.4e-32
GCF_000013085.1	Rru_A0348	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	89.3	4.4e-28
GCF_000013085.1	Rru_A1154	PF01867.16	CRISPR associated protein Cas1	273.2	7.3e-84
GCF_000013085.1	Rru_A2343	PF01930.17	Domain of unknown function DUF83	64.1	5.4e-20
GCF_000013085.1	Rru_A2452	PF13280.6	WYL domain	88.5	1.8e-27
GCF_000013085.1	Rru_A0829	PF09704.10	CRISPR-associated protein (Cas_Cas5)	145.3	8.1e-45
GCF_000013085.1	Rru_A0830	PF09709.10	CRISPR-associated protein (Cas_Csd1)	521.2	1.1e-158
GCF_000013085.1	Rru_A0345	PF09704.10	CRISPR-associated protein (Cas_Cas5)	114.8	1.7e-35
GCF_000013085.1	Rru_A0834	PF09827.9	CRISPR associated protein Cas2	81.7	1.1e-25
GCF_000013085.1	Rru_A0831	PF05107.12	CRISPR-associated protein Cas7	375.5	4.2e-115
GCF_000013085.1	Rru_A0168	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	109.4	2.4e-34
GCF_000013085.1	Rru_A0170	PF08798.11	CRISPR associated protein	136.7	4.3e-42
GCF_000013085.1	Rru_A0171	PF09704.10	CRISPR-associated protein (Cas_Cas5)	136.6	3.7e-42
GCF_000013085.1	Rru_A0172	PF09344.10	CT1975-like protein	325.4	1.9e-99
GCF_000013085.1	Rru_A0184	PF03787.15	RAMP superfamily	81.2	3.6e-25
GCF_000013085.1	Rru_A0833	PF01867.16	CRISPR associated protein Cas1	341.2	1.3e-104
GCF_000013085.1	Rru_A0179	PF01930.17	Domain of unknown function DUF83	61.7	2.9e-19
GCF_000013085.1	Rru_A0179	PF01867.16	CRISPR associated protein Cas1	287.2	3.8e-88
GCF_000013085.1	Rru_A1153	PF09827.9	CRISPR associated protein Cas2	67.1	4e-21
GCF_000013085.1	Rru_A0174	PF09481.10	CRISPR-associated protein Cse1 (CRISPR_cse1)	269.2	2.6e-82
GCF_000013085.1	Rru_A0178	PF09827.9	CRISPR associated protein Cas2	61.3	2.5e-19
GCF_000013105.1	Moth_0496	PF09709.10	CRISPR-associated protein (Cas_Csd1)	447.3	2.8e-136
GCF_000013105.1	Moth_0493	PF01867.16	CRISPR associated protein Cas1	332.1	7.9e-102
GCF_000013105.1	Moth_0497	PF09704.10	CRISPR-associated protein (Cas_Cas5)	134.5	1.6e-41
GCF_000013105.1	Moth_0494	PF01930.17	Domain of unknown function DUF83	114.1	2.3e-35
GCF_000013105.1	Moth_1728	PF01930.17	Domain of unknown function DUF83	179.4	1.8e-55
GCF_000013105.1	Moth_1727	PF01867.16	CRISPR associated protein Cas1	297.6	2.6e-91
GCF_000013105.1	Moth_0499	PF13280.6	WYL domain	64.3	4.7e-20
GCF_000013105.1	Moth_0495	PF05107.12	CRISPR-associated protein Cas7	335.1	9.4e-103
GCF_000013105.1	Moth_0492	PF09827.9	CRISPR associated protein Cas2	89.7	3.5e-28
GCF_000013105.1	Moth_1731	PF01905.16	CRISPR-associated negative auto-regulator DevR/Csa2	223.9	6.6e-69
GCF_000013105.1	Moth_1726	PF09827.9	CRISPR associated protein Cas2	64.5	2.6e-20
GCF_000013325.1	SARO_RS01755	PF13280.6	WYL domain	101.0	2.6e-31
GCF_000013345.1	FRANCCI3_RS00115	PF09704.10	CRISPR-associated protein (Cas_Cas5)	176.5	2.3e-54
GCF_000013345.1	FRANCCI3_RS00130	PF09707.10	CRISPR-associated protein (Cas_Cas2CT1978)	113.7	1e-35
GCF_000013345.1	FRANCCI3_RS01555	PF13280.6	WYL domain	133.2	3.3e-41
GCF_000013345.1	FRANCCI3_RS00120	PF08798.11	CRISPR associated protein	223.2	1.6e-68
GCF_000013345.1	FRANCCI3_RS13145	PF13280.6	WYL domain	132.0	7.8e-41
GCF_000013345.1	FRANCCI3_RS00110	PF09344.10	CT1975-like protein	397.1	3.2e-121
GCF_000013345.1	FRANCCI3_RS00105	PF09485.10	CRISPR-associated protein Cse2 (CRISPR_cse2)	119.9	4e-37
GCF_000013345.1	FRANCCI3_RS00095	PF18395.1	Cas3 C-terminal domain	77.8	2.6e-24
GCF_000013345.1	FRANCCI3_RS13150	PF13280.6	WYL domain	100.9	2.7e-31
GCF_000013345.1	FRANCCI3_RS00100	PF09481.10	CRISPR-associated protein Cse1 (CRISPR_cse1)	361.2	3.1e-110
GCF_000013345.1	FRANCCI3_RS16860	PF01930.17	Domain of unknown function DUF83	71.4	3.1e-22
GCF_000013345.1	FRANCCI3_RS16850	PF09709.10	CRISPR-associated protein (Cas_Csd1)	255.9	2.7e-78
GCF_000013345.1	FRANCCI3_RS16855	PF05107.12	CRISPR-associated protein Cas7	296.1	7.2e-91
GCF_000013345.1	FRANCCI3_RS16870	PF09827.9	CRISPR associated protein Cas2	70.8	2.7e-22
GCF_000013345.1	FRANCCI3_RS16845	PF09704.10	CRISPR-associated protein (Cas_Cas5)	90.7	4.1e-28
GCF_000013345.1	FRANCCI3_RS16865	PF01867.16	CRISPR associated protein Cas1	292.9	6.8e-90
GCF_000013385.1	ADEH_RS20275	PF13280.6	WYL domain	96.1	7.8e-30
GCF_000013385.1	ADEH_RS02985	PF13280.6	WYL domain	118.0	1.5e-36
GCF_000013385.1	ADEH_RS02980	PF13280.6	WYL domain	121.5	1.3e-37
GCF_000013405.1	SYN_RS04330	PF13280.6	WYL domain	117.2	2.7e-36
GCF_000013405.1	SYN_RS15005	PF01867.16	CRISPR associated protein Cas1	277.4	3.6e-85
GCF_000013405.1	SYN_RS12925	PF09704.10	CRISPR-associated protein (Cas_Cas5)	175.5	4.6e-54
GCF_000013405.1	SYN_RS12920	PF09709.10	CRISPR-associated protein (Cas_Csd1)	458.2	1.4e-139
GCF_000013405.1	SYN_RS02895	PF09827.9	CRISPR associated protein Cas2	65.5	1.2e-20
GCF_000013405.1	SYN_RS02875	PF09651.10	CRISPR-associated protein (Cas_APE2256)	136.7	1.5e-42
GCF_000013405.1	SYN_RS02890	PF09827.9	CRISPR associated protein Cas2	71.1	2.1e-22
GCF_000013405.1	SYN_RS15000	PF03787.15	RAMP superfamily	75.0	2.8e-23
GCF_000013405.1	SYN_RS02880	PF09670.10	CRISPR-associated protein (Cas_Cas02710)	484.2	7.5e-148
GCF_000013405.1	SYN_RS02860	PF03787.15	RAMP superfamily	77.7	4.3e-24
GCF_000013405.1	SYN_RS02855	PF09700.10	CRISPR-associated protein (Cas_Cmr3)	107.4	3.4e-33
GCF_000013405.1	SYN_RS02850	PF12469.8	CRISPR-associated protein	117.1	1.4e-36
GCF_000013405.1	SYN_RS12915	PF05107.12	CRISPR-associated protein Cas7	245.4	2.2e-75
GCF_000013405.1	SYN_RS12910	PF01930.17	Domain of unknown function DUF83	125.0	1e-38
GCF_000013405.1	SYN_RS15480	PF13280.6	WYL domain	135.0	9.3e-42
GCF_000013405.1	SYN_RS12905	PF01867.16	CRISPR associated protein Cas1	349.9	3e-107
GCF_000013405.1	SYN_RS12900	PF09827.9	CRISPR associated protein Cas2	84.6	1.4e-26
GCF_000013405.1	SYN_RS02840	PF09623.10	CRISPR-associated protein NE0113 (Cas_NE0113)	252.5	1.1e-77
GCF_000013405.1	SYN_RS02865	PF09701.10	CRISPR-associated protein (Cas_Cmr5)	110.0	2.9e-34
GCF_000013405.1	SYN_RS07950	PF13280.6	WYL domain	102.3	9.7e-32
GCF_000013605.1	RFER_RS19825	PF05107.12	CRISPR-associated protein Cas7	228.5	3.1e-70
